LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX
-27.63599,-65.33749,2000,01,01,    3.96,    9.79,   48.01,   93.95,   15.00,   24.94,   12.61,   12.61,   31.66,   16.67,   24.42,    2.68,    1.51,    5.60,    4.87
-27.63599,-65.33749,2000,01,02,    1.47,    9.31,   44.69,   93.89,   15.02,   25.80,   11.80,   11.80,   32.53,   17.51,   24.77,    1.31,    0.91,    5.60,    3.63
-27.63599,-65.33749,2000,01,03,    8.74,    9.58,   45.77,   93.62,   15.43,   25.50,   12.18,   12.18,   32.45,   17.02,   24.80,    1.69,    0.97,    5.71,    3.93
-27.63599,-65.33749,2000,01,04,    4.06,   10.54,   48.84,   93.71,   13.96,   26.21,   13.67,   13.67,   32.18,   18.22,   25.32,    1.04,    1.00,    5.35,    3.07
-27.63599,-65.33749,2000,01,05,    0.09,   10.30,   42.41,   93.72,   15.31,   27.88,   13.31,   13.31,   34.71,   19.40,   27.33,    0.40,    0.41,    3.50,    2.93
-27.63599,-65.33749,2000,01,06,    0.64,   11.09,   46.05,   93.82,   13.36,   28.18,   14.49,   14.49,   34.33,   20.97,   27.20,    1.48,    0.96,    7.08,    5.36
-27.63599,-65.33749,2000,01,07,    4.25,   12.60,   56.48,   93.78,   10.82,   26.54,   16.44,   16.44,   31.75,   20.92,   25.87,    1.09,    0.82,    6.86,    5.48
-27.63599,-65.33749,2000,01,08,    3.83,   13.84,   60.99,   93.78,   13.12,   27.39,   17.94,   17.94,   33.01,   19.90,   26.15,    0.09,    0.14,    4.73,    3.92
-27.63599,-65.33749,2000,01,09,    1.69,   12.36,   56.85,   93.95,   11.52,   26.40,   16.10,   16.10,   31.74,   20.22,   25.48,    0.73,    0.49,    6.04,    4.97
-27.63599,-65.33749,2000,01,10,    0.73,   13.84,   58.41,   93.72,   13.05,   28.51,   17.96,   17.96,   33.27,   20.22,   26.87,    0.86,    0.49,    4.85,    4.00
-27.63599,-65.33749,2000,01,11,    0.53,   14.47,   52.35,   93.39,   14.67,   30.61,   18.58,   18.58,   36.97,   22.30,   29.46,    1.45,    0.63,    7.10,    5.81
-27.63599,-65.33749,2000,01,12,    1.20,   15.28,   54.33,   93.24,   13.72,   30.83,   19.44,   19.44,   36.69,   22.97,   29.72,    1.53,    1.08,    6.68,    5.60
-27.63599,-65.33749,2000,01,13,    3.17,   16.76,   79.45,   93.45,    5.79,   25.39,   21.00,   21.00,   27.60,   21.81,   24.83,    2.30,    1.30,    6.16,    4.75
-27.63599,-65.33749,2000,01,14,   13.35,   16.45,   81.70,   93.44,    7.00,   24.87,   20.71,   20.71,   28.02,   21.02,   24.05,    3.89,    3.18,    6.96,    5.95
-27.63599,-65.33749,2000,01,15,   49.45,   17.52,   87.64,   93.33,    6.76,   24.57,   21.69,   21.69,   28.06,   21.31,   23.91,    4.05,    2.24,    7.39,    6.12
-27.63599,-65.33749,2000,01,16,   26.12,   17.52,   87.12,   93.28,    6.05,   24.46,   21.66,   21.66,   27.44,   21.39,   23.99,    1.34,    0.92,    4.71,    3.05
-27.63599,-65.33749,2000,01,17,   23.58,   13.21,   86.59,   94.11,    4.19,   19.69,   17.23,   17.23,   22.11,   17.93,   19.66,    1.64,    0.85,    8.80,    6.90
-27.63599,-65.33749,2000,01,18,    0.00,   12.79,   76.42,   94.50,    9.15,   22.22,   16.81,   16.81,   26.18,   17.03,   21.23,    0.44,    0.38,    4.45,    3.80
-27.63599,-65.33749,2000,01,19,    0.00,   15.56,   78.94,   94.10,   11.02,   24.80,   19.87,   19.87,   29.14,   18.12,   23.82,    0.92,    0.52,    5.60,    4.47
-27.63599,-65.33749,2000,01,20,    4.25,   18.34,   81.49,   93.42,    9.68,   26.20,   22.42,   22.42,   30.90,   21.22,   25.90,    1.85,    1.22,    6.19,    4.77
-27.63599,-65.33749,2000,01,21,   29.06,   19.04,   80.00,   93.19,    8.03,   26.72,   23.01,   23.01,   31.26,   23.23,   26.80,    0.74,    0.46,    8.40,    5.72
-27.63599,-65.33749,2000,01,22,    8.69,   12.62,   83.89,   94.19,    4.76,   19.87,   16.60,   16.60,   22.03,   17.27,   19.45,    2.49,    1.35,    8.72,    6.38
-27.63599,-65.33749,2000,01,23,    0.43,   14.33,   82.05,   93.92,   10.08,   22.74,   18.51,   18.51,   26.83,   16.75,   21.81,    1.08,    0.58,    4.72,    4.05
-27.63599,-65.33749,2000,01,24,    8.07,   16.41,   83.71,   93.90,    8.98,   24.35,   20.73,   20.74,   29.03,   20.05,   23.69,    2.60,    1.40,    7.52,    5.70
-27.63599,-65.33749,2000,01,25,    0.82,   13.30,   78.08,   94.23,    6.58,   22.15,   17.43,   17.43,   25.34,   18.75,   21.46,    2.34,    1.41,    5.58,    4.08
-27.63599,-65.33749,2000,01,26,    0.01,   12.81,   71.51,   94.33,   10.74,   22.96,   16.83,   16.83,   27.69,   16.95,   22.30,    1.96,    1.24,    5.67,    4.37
-27.63599,-65.33749,2000,01,27,    0.01,   12.82,   72.15,   94.12,   10.02,   22.82,   16.84,   16.84,   27.34,   17.32,   22.14,    3.68,    1.98,    7.36,    6.21
-27.63599,-65.33749,2000,01,28,    3.63,   13.37,   69.50,   93.83,   10.76,   23.92,   17.46,   17.46,   28.97,   18.22,   23.39,    1.10,    0.70,    6.17,    5.14
-27.63599,-65.33749,2000,01,29,   20.97,   14.43,   77.41,   93.64,    9.36,   23.33,   18.62,   18.62,   27.76,   18.40,   22.83,    2.09,    1.14,    7.68,    6.25
-27.63599,-65.33749,2000,01,30,    6.24,   14.67,   79.46,   93.87,    9.57,   23.69,   18.94,   18.94,   27.58,   18.02,   22.71,    0.56,    0.31,    3.55,    2.74
-27.63599,-65.33749,2000,01,31,    0.00,   14.73,   74.64,   94.10,    9.70,   24.55,   19.05,   19.05,   29.26,   19.56,   23.86,    0.31,    0.20,    5.60,    3.94
-27.63599,-65.33749,2000,02,01,    4.06,   14.75,   75.97,   93.85,   10.28,   24.15,   18.98,   18.98,   28.49,   18.21,   23.54,    0.55,    0.42,    7.33,    6.05
-27.63599,-65.33749,2000,02,02,   10.31,   15.64,   82.01,   93.60,   10.63,   23.87,   19.89,   19.89,   28.97,   18.34,   23.19,    0.54,    0.30,   10.49,    8.15
